Department,Department Name,Water Use (All Water Sources) (kgal),Site Energy Use (kBtu),Primary Property Type - Self Selected
DSH,Department of State Hospitals,,289387561.9,Outpatient Rehabilitation/Physical Therapy
DSH,Department of State Hospitals,70041,,Other - Specialty Hospital
DWR,Department of Water Resources,1259.5,779332.7,Other - Recreation
DWR,Department of Water Resources,5.7,196604.5,Self-Storage Facility
DWR,Department of Water Resources,341.1,,Other - Utility
DWR,Department of Water Resources,4.2,4046342.8,Other - Services
DWR,Department of Water Resources,7.5,87861.9,Laboratory
DWR,Department of Water Resources,,84514.4,Manufacturing/Industrial Plant
DWR,Department of Water Resources,4638.2,6297011.3,Office
DWR,Department of Water Resources,2724.2,1341630.2,Mixed Use Property
DWR,Department of Water Resources,6272,2213854.4,Other
DWR,Department of Water Resources,402,4661343.8,Non-Refrigerated Warehouse
EDD,Employment Development Department,0,74379.7,Parking
EDD,Employment Development Department,12446.9,30520310.1,Office
HCD,Housing and Community Development,117195.5,11148547.1,Other
SLC,State Lands Commission,12.7,37984.1,Office
SMMC,Santa Monica Mountains Conservancy ,2545.2,344060.3,Office
