Agency Name,Report Year,Reportable Dollars,Compliant Dollars,Percentage SABRC
Department of Fish and Wildlife,2013/2014,$779290.72,$364505.83,31.8%
Salinas Valley State Prison,2013/2014,$174704.78,$81184.18,31.571428571428571%
35-A District Agricultural Association,2013,$7282.00,$2764.00,31.428571428571429%
Folsom State Prison,2013/2014,$239059.75,$114323.49,31.4%
22nd District Agricultural Association,2013,$1218019.06,$800122.74,30.777777777777778%
California Department of Conservation,2013/2014,$216388.00,$69589.00,30.571428571428571%
Department of Corrections and Rehabilitation,2013/2014,$1023295.06,$331107.53,30.4%
California State Prison - Sacramento,2013/2014,$405690.96,$208029.45,30.285714285714286%
Canyon Springs-Department of Developmental Services,2013/2014,$74865.00,$23861.00,30.285714285714286%
Department of Water Resources,2013/2014,$11437418.29,$2660640.83,30%
41st District Agricultural Association,2013,$5000.00,$2850.00,29.5%
San Quentin State Prison,2013/2014,$301438.33,$118689.25,29.285714285714286%
Government Operations Agency,2013/2014,$9070.25,$2422.78,28.8%
Porterville Developmental Center,2013/2014,$371536.59,$148293.89,27.857142857142857%
Commission on Aging,2013/2014,$1084.48,$223.39,27.75%
California Highway Patrol,2013/2014,$5847881.00,$1449130.00,27.625%
Sonoma Developmental Center,2013/2014,$326673.74,$136184.00,27.625%
Correctional Training Facility,2013/2014,$587727.27,$265229.22,27.5%
California State Prison - Corcoran,2013/2014,$239377.71,$75991.55,27.5%
Sierra Conservation Center,2013/2014,$498242.10,$111650.78,26.625%
California Rehabilitation Center,2013/2014,$357627.57,$142830.88,26.571428571428571%
9th District Agricultural Association,2013,$5900.00,$590.00,26%
California Institution for Women,2013/2014,$313013.67,$172893.06,26%
California Tahoe Conservancy,2013/2014,$12030.00,$4338.90,25.833333333333333%
California Men's Colony,2013/2014,$353944.00,$114052.00,25.142857142857143%
Central California's Women's Facility,2013/2014,$1117210.53,$645506.37,25.090909090909091%
Correctional Health Care Services (CHCS),2013/2014,$606206.95,$122452.09,25%
14th District Agricultural Association,2013,$15946.00,$6708.00,24.75%
California Science Center,2013/2014,$228174.05,$91595.74,24%
Department of Toxic Substances Control,2013/2014,$73554.90,$22026.34,24%
"California State Prison, Los Angeles County",2013/2014,$217249.01,$45288.66,22.25%
California Student Aid Commission,2013/2014,$182807.27,$5943.20,21.5%
10th District Agricultural Association,2013,$13142.99,$3870.17,21%
Valley State Prison,2013/2014,$682024.37,$255212.26,20.9%
Metropolitan State Hospital,2013/2014,$891374.36,$380274.46,17.5%
Atascadero State Hospital,2013/2014,$1181119.89,$605324.19,17.4%
17th District Agricultural Association,2013,$39131.45,$14468.66,17.25%
Public Employment Relations Board,2013/2014,$92830.79,$5575.62,9%
Lanterman Developmental Center,2013/2014,$68288.34,$6826.00,9%
State Council on Developmental Disabilities,2013/2014,$5293.96,$132.31,3%
37th District Agricultural Association,2013,$13271.18,$0.00,0%
33rd District Agricultural Association,2013,$14211.91,$0.00,0%
State Independent Living Council,2013/2014,$95.00,$0.00,0%
Division of Adult Parole Operations,2013/2014,$13115.17,$0.00,0%
